ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
35480,Tatyana Pavlovna Firova,F,21.0,174.0,59.0,Russia,RUS,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's 4 x 400 metres Relay,Silver
35480,Tatyana Pavlovna Firova,F,25.0,174.0,59.0,Russia,RUS,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's 4 x 400 metres Relay,Silver
35480,Tatyana Pavlovna Firova,F,29.0,174.0,59.0,Russia,RUS,2012 Summer,2012,Summer,London,Athletics,Athletics Women's 4 x 400 metres Relay,Silver
35496,Aria Fischer,F,17.0,183.0,78.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Women's Water Polo,Gold
35507,Fanny Fischer,F,21.0,175.0,63.0,Germany,GER,2008 Summer,2008,Summer,Beijing,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Gold
35514,Heike Fischer,F,25.0,172.0,62.0,Germany,GER,2008 Summer,2008,Summer,Beijing,Diving,Diving Women's Synchronized Springboard,Bronze
35523,Makenzie Fischer,F,19.0,186.0,74.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Women's Water Polo,Gold
35524,Marcel Fischer,M,25.0,190.0,78.0,Switzerland,SUI,2004 Summer,2004,Summer,Athina,Fencing,"Fencing Men's epee, Individual",Gold
35526,sa Nilla Maria Fischer,F,32.0,176.0,68.0,Sweden,SWE,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Women's Football,Silver
35550,Birgit Fischer-Schmidt,F,38.0,172.0,69.0,Germany,GER,2000 Summer,2000,Summer,Sydney,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Gold
35550,Birgit Fischer-Schmidt,F,38.0,172.0,69.0,Germany,GER,2000 Summer,2000,Summer,Sydney,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Gold
35550,Birgit Fischer-Schmidt,F,42.0,172.0,69.0,Germany,GER,2004 Summer,2004,Summer,Athina,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Silver
35550,Birgit Fischer-Schmidt,F,42.0,172.0,69.0,Germany,GER,2004 Summer,2004,Summer,Athina,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Gold
35565,Mardy Simpson Fish,M,22.0,187.0,81.0,United States,USA,2004 Summer,2004,Summer,Athina,Tennis,Tennis Men's Singles,Silver
35614,Doris Fitschen,F,31.0,175.0,64.0,Germany,GER,2000 Summer,2000,Summer,Sydney,Football,Football Women's Football,Bronze
35651,Theresa Matauaina Fitzpatrick,F,21.0,168.0,75.0,New Zealand,NZL,2016 Summer,2016,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Women's Rugby Sevens,Silver
35677,Nils Olav Fjeldheim,M,27.0,178.0,80.0,Norway,NOR,2004 Summer,2004,Summer,Athina,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Bronze
35721,Shalane Flanagan (-Edwards),F,27.0,166.0,47.0,United States,USA,2008 Summer,2008,Summer,Beijing,Athletics,"Athletics Women's 10,000 metres",Silver
35780,Jessie Alexandra Fleming,F,18.0,164.0,55.0,Canada,CAN,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Women's Football,Bronze
35803,Laura lodie Flessel-Colovic,F,28.0,171.0,55.0,France,FRA,2000 Summer,2000,Summer,Sydney,Fencing,"Fencing Women's epee, Individual",Bronze
35803,Laura lodie Flessel-Colovic,F,32.0,171.0,55.0,France,FRA,2004 Summer,2004,Summer,Athina,Fencing,"Fencing Women's epee, Individual",Silver
35803,Laura lodie Flessel-Colovic,F,32.0,171.0,55.0,France,FRA,2004 Summer,2004,Summer,Athina,Fencing,"Fencing Women's epee, Team",Bronze
35870,"Deborah Kirsty ""Debbie"" Flood",F,24.0,177.0,76.0,Great Britain,GBR,2004 Summer,2004,Summer,Athina,Rowing,Rowing Women's Quadruple Sculls,Silver
35870,"Deborah Kirsty ""Debbie"" Flood",F,28.0,177.0,76.0,Great Britain,GBR,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Women's Quadruple Sculls,Silver
35886,Rzvan Ionu Florea,M,23.0,186.0,72.0,Romania,ROU,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 200 metres Backstroke,Bronze
35888,Rodica Maria Florea-erban,F,21.0,183.0,73.0,Romania,ROU,2004 Summer,2004,Summer,Athina,Rowing,Rowing Women's Coxed Eights,Gold
35888,Rodica Maria Florea-erban,F,25.0,183.0,73.0,Romania,ROU,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Women's Coxed Eights,Bronze
35890,David Florence,M,25.0,188.0,76.0,Great Britain,GBR,2008 Summer,2008,Summer,Beijing,Canoeing,"Canoeing Men's Canadian Singles, Slalom",Silver
35890,David Florence,M,29.0,188.0,76.0,Great Britain-2,GBR,2012 Summer,2012,Summer,London,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",Silver
35890,David Florence,M,33.0,188.0,76.0,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",Silver
35893,Guillaume Florent,M,34.0,189.0,95.0,France,FRA,2008 Summer,2008,Summer,Beijing,Sailing,Sailing Mixed One Person Dinghy,Bronze
35894,Esquiva Falco Florentino,M,22.0,171.0,75.0,Brazil,BRA,2012 Summer,2012,Summer,London,Boxing,Boxing Men's Middleweight,Silver
35951,Vala R. Flosadttir,F,22.0,183.0,72.0,Iceland,ISL,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's Pole Vault,Bronze
35957,Tairia Flowers,F,23.0,170.0,73.0,United States,USA,2004 Summer,2004,Summer,Athina,Softball,Softball Women's Softball,Gold
35957,Tairia Flowers,F,27.0,170.0,73.0,United States,USA,2008 Summer,2008,Summer,Beijing,Softball,Softball Women's Softball,Silver
35988,James Christian Foad,M,25.0,185.0,90.0,Great Britain,GBR,2012 Summer,2012,Summer,London,Rowing,Rowing Men's Coxed Eights,Bronze
36003,Rajmund Fodor,M,24.0,190.0,94.0,Hungary,HUN,2000 Summer,2000,Summer,Sydney,Water Polo,Water Polo Men's Water Polo,Gold
36003,Rajmund Fodor,M,28.0,190.0,94.0,Hungary,HUN,2004 Summer,2004,Summer,Athina,Water Polo,Water Polo Men's Water Polo,Gold
36004,Zoltn Fodor,M,23.0,180.0,84.0,Hungary,HUN,2008 Summer,2008,Summer,Beijing,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Silver
36009,Paul Jeffrey Foerster,M,36.0,172.0,68.0,United States,USA,2000 Summer,2000,Summer,Sydney,Sailing,Sailing Men's Two Person Dinghy,Silver
